code,Rgst_years,Corp_Rgst_Cap,Shareholders_Num,Per_Capita_Shareholding,Employees_Num,Bachelor_Person_Pro,Technicians_Person_Pro,Cash_Flow_Ratio,Net_Cash_Flow_to_Liability_Ratio,Net_Cash_Flow_to_Net_Profit_Ratio,Operating_Cash_Return_Flow,Net_Cash_Flow_to_Sales_Revenue_Ratio,Current_Assets_Turnover_Days,Current_Assets_Turnover_Rate,Total_Asset_Turnover_Days,Inventory_Turnover_Days,Total_Asset_Turnover_Rate,Inventory_Turnover_Rate,Accounts_Receivable_Turnover_Days,Accounts_Receivable_Turnover_Rate,Total_Asset_Growth_Rate,Net_Asset_Growth_Rate,Net_Profit_Growth_Rate,Main_Business_Revenue_Growth_Rate,Equity_ratio,Capital_fixed_ratio,Capitalization_ratio,Long_term_assets_to_long_term_funding_ratio,Liabilities_to_owner_equity_ratio,Long_term_debt_ratio,Shareholders_equity_ratio,Long_term_debt_to_working_capital_ratio,Gearing_ratio,Interest_payment_multiple,Cash_ratio,Quick_ratio,Liquidity_ratio,Total_asset_margin,Profit_margin_of_main_business,Total_net_asset_margin,Cost_and_expense_margins,Operating_margin,Cost_ratio_of_main_business,Net_profit_margin_on_sales,Return_on_equity,Return_on_equity.1,Return_on_net_assets,Return_on_assets,Three_cost_ratios,Non_main_proportion,Proportion_of_main_profit,Main_business_income,Main_business_profit,Operating_profit,Investment_income,Net_non_operating_income_and_expenditure,Total_profit,Net_profit,Net_cash_flow_from_operating_activities,Net_increase_in_cash_and_cash_equivalents,Total_assets,liquid_asset,Total_liabilities,Current_liabilities,Shareholders_equity_does_not_include_minority_interests,Return_on_equity_weighting,Operating_income,Operating_costs,Operating_profit.1,Total_profit.1,Income_tax_expense,Net_profit.1,Basic_earnings_per_share,Monetary_funds,Accounts_receivable,Stocks,Total_current_assets,Total_assets.1,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities.1,Total_owners_equity,Opening_cash_and_cash_equivalents_balances,Net_cash_flow_from_operating_activities.1,Net_cash_flows_from_investing_activities,Net_cash_flows_from_fund_raising_activities,Net_increase_in_cash_and_cash_equivalents.1,Closing_cash_and_cash_equivalents_balances,Total_current_assets.1,Total_non_current_assets,Total_assets.2,Total_current_liabilities.1,Total_non_current_liabilities.1,Total_liabilities.2,Total_owners_equity.1,Total_liabilities_and_owners_equity,y
603026,20,20268,53136,0.38,1540,44.48,19.09,60.37,0.52,1.14,0.16,0.15,131.71,2.05,219.21,15.75,1.23,17.14,31.12,8.68,62.35,45.2,8.82,34.51,41.87,57.2,4.33,54.72,43.24,3.16,69.81,0.09,30.19,-1071.23,107.88,2.07,2.3,13.81,18.99,15.89,18.7,15.07,80.57,12.9,432.7,432.7,19.78,13.81,0.87,1.19,41.87,679875,129100,102482,-391,1625,104107,87699,99940,88787,635020,381434,191694,165554,392317,24.51,679875,547796,102482,104107,16408,87699,4.25,178606,77322,38881,381434,635020,165554,26141,191694,443326,82312,99940,-24106,8004,88787,171099,381434,253586,635020,165554,26141,191694,443326,635020,0
600761,0,74018.0802,29167,2.54,8427,23.06,21.02,5.41,0.05,0.31,0.02,0.02,190.52,1.42,266.77,55.28,1.01,4.88,33.68,8.02,8.31,8.91,23.5,1.09,71.42,52.15,6.84,48.58,75.85,4.18,56.87,0.12,43.13,-1432.97,36.89,1.46,1.93,6.46,16.08,6.56,8.31,7.3,83.39,6.48,104.58,104.58,11.37,6.46,5.29,11.37,71.42,1194890,192083,87196,8644,1428,88624,77407,23628,-14767,1197500,842378,516520,436357,623665,11.3,1194890,996466,87196,88624,11216,77407,0.93,160982,177406,205409,842378,1197500,436357,80163,516520,680980,58343,23628,2045,-41576,-14767,43576,842378,355122,1197500,436357,80163,516520,680980,1197500,0
19,0,115253.5254,53869,2.14,1278,49.69,8.84,32.78,0.25,2.32,0.1,0.12,180.88,1.49,326.64,163.45,0.83,1.65,9.81,27.52,-0.64,4.26,6.65,-15.74,59.23,72.82,10.36,65.28,63.39,7.08,61.2,0.27,38.8,914.67,4.72,0.45,1.9,4.12,12.34,4.14,5.48,5.09,87.44,5.01,27.65,27.65,6.74,4.12,5.57,0.8,59.23,636502,78556,32379,134,125,32504,31870,73946,5595,773112,428545,299943,225568,466055,6.87,636502,556567,32379,32504,634,31870,0.28,10636,17950,327790,428545,773112,225568,74374,299943,473169,4937,73946,-40356,-28004,5595,10532,428545,344567,773112,225568,74374,299943,473169,773112,0
603353,17,17339.4,12330,1.41,956,21.13,0,-25.11,-0.16,-1.14,-0.04,-0.03,74.52,3.62,175.59,17.21,1.54,15.69,0.71,379.87,9.31,1.63,9.11,31.98,24.4,81.45,0,0,39.28,0,71.8,0,28.2,8985.04,54.55,1.6,2.37,3.85,8.31,3.84,3.49,3.38,91.5,2.5,52.16,52.16,5.36,3.85,5.08,3.78,24.4,362446,30133,12253,461,2,12255,9044,-10346,-39920,235164,97647,66325,41203,168348,5.35,362446,331639,12253,12255,3211,9044,0.52,22477,1252,31762,97647,235164,41203,25122,66325,168839,61397,-10346,-19906,-9669,-39920,21477,97647,137517,235164,41203,25122,66325,168839,235164,0
833523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,0,101769.841,41920,2.43,3124,51.41,7.23,-5.18,-0.04,-1.2,-0.02,-0.06,312.46,0.86,833.33,10.35,0.32,26.07,78.26,3.45,-6.2,6.28,-20.94,-10.4,88.45,133.23,7.2,123.63,106.25,3.76,48.48,-1.01,51.52,342.78,43.6,0.88,0.91,1.69,21.2,1.67,5.46,5.35,77.99,5.15,6.16,6.16,3.49,1.69,20.48,56.12,88.45,121799,25827,6512,3616,88,6600,6267,-7503,-4407,369938,130981,190575,144716,154175,3.66,121799,94992,6512,6600,332,6267,0.05,61932,37116,3604,130981,369938,144716,45859,190575,179363,64521,-7503,3105,-10,-4407,60114,130981,238957,369938,144716,45859,190575,179363,369938,0
300511,25,50304.4448,33282,1.51,1712,23.31,12.32,12.96,0.07,0,0.04,0.11,173.37,1.56,730.92,77.09,0.37,3.5,4.19,64.37,3.21,9.66,0,15.4,89.32,164.62,18.3,134.49,125.75,9.92,44.3,-3.87,55.7,90.14,34.9,0.57,0.91,-0.15,8.98,-0.16,-0.4,-0.82,90.14,-0.43,-1.39,-1.39,-0.35,-0.15,10.94,-313.19,89.32,164934,14807,-1357,1423,684,-673,-702,17635,12157,459087,124319,255730,136086,205695,0.32,164934,148670,-1357,-673,29,-702,0.01,47495,2239,46492,124319,459087,136086,119644,255730,203357,33938,17635,-36862,31383,12157,46095,124319,334768,459087,136086,119644,255730,203357,459087,0
832110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688580,21,6862.3867,5771,1.19,575,65.22,28,21.74,0.22,0.24,0.01,0.07,1724.14,0.16,2005.94,135.66,0.13,1.99,28.73,9.4,0.86,3.4,-42.06,-28.6,4.57,16.45,0,0,4.57,0,95.63,0,4.37,-387.83,1834.03,18.87,19.27,3.93,72.18,3.86,49.22,30.63,26.62,28.7,90.6,90.6,4.11,3.93,35.43,21.29,4.57,21658,15632,6634,1327,109,6743,6217,1502,-10145,158013,133153,6909,6909,151103,4.05,21658,5765,6634,6743,526,6217,0.91,126717,2179,2749,133153,158013,6909,0,6909,151103,136131,1502,-2121,-9526,-10145,125986,133153,24859,158013,6909,0,6909,151103,158013,0
600802,0,45824.84,48413,0.95,1852,0,3.62,-6.56,-0.05,0,-0.03,-0.07,119,2.27,646.55,46.13,0.42,5.85,0.04,7474.56,-3.34,-12.12,-222.05,-18.39,154.89,218.74,22.64,169.22,165.12,11.04,37.72,-0.37,62.28,-596.41,8.98,0.21,0.37,-6.23,-0.44,-6.09,-12.5,-14.46,98.94,-14.57,-60.27,-60.27,-16.53,-6.23,14.87,-19.52,154.89,189546,-834,-27413,5244,90,-27323,-27621,-13778,-7271,443124,77514,275980,209976,161749,-10.05,189546,187541,-27413,-27323,298,-27621,-0.43,18852,24,33807,77514,443124,209976,66004,275980,167144,24674,-13778,-4880,11387,-7271,17402,77514,365611,443124,209976,66004,275980,167144,443124,0
