to_id,from_id
600999,6861
600999,6861
600999,6861
600999,6861
600355,600355
600355,600355
600355,600355
600355,600355
600355,600355
2465,2015
2465,11834
2465,11834
600307,600307
600307,600307
600307,630
600307,630
600307,408
600307,408
600307,2532
600307,2532
603169,603169
603169,603169
603169,603169
603169,603169
603169,603169
603169,603169
2273,603169
2273,4190
2273,4190
2273,4190
988,4190
988,430198
988,430198
988,430198
988,430198
988,430198
988,430198
988,430198
300082,300082
300082,300082
300082,300082
300082,300082
300082,300082
300082,300082
603536,603536
603536,603536
2926,430139
2926,430139
2926,430139
2926,430139
2926,430139
2926,2142
728,835670
728,600036
728,600036
728,870508
425,630
425,338
425,834765
425,425
425,425
425,425
425,425
425,425
425,425
425,425
2697,300926
2697,300926
2697,830832
2697,300926
2697,300926
2697,830832
603026,10363
603026,870357
603026,870357
603026,601857
603026,2542
603026,870357
603026,601857
603026,601995
603026,2542
603026,2542
603026,2542
603026,2542
600979,870357
600052,430139
600052,14872
600052,19
600052,19
600016,13735
600016,157
600016,600811
600016,2073
750,9260
750,2532
750,837046
750,2532
300114,11934
600105,600105
600105,600105
600105,600105
600105,600105
600105,600105
600105,600105
600105,600105
600105,600105
600105,600105
600105,600105
600105,600105
600105,600105
600105,600105
603236,600105
776,688159
776,832662
776,832662
776,832662
776,832662
776,832662
776,832662
776,832662
776,832662
776,832662
776,832662
776,832662
776,832662
776,832662
776,832662
776,688159
776,832662
300992,832662
300992,2908
300992,2908
300992,2908
300992,2908
300992,2908
600459,2908
600459,600459
600459,819
600459,2182
600459,2182
600459,2182
600459,2182
600459,2182
600459,878
300477,600252
688182,832225
300722,399368
300722,2337
300722,2337
300722,399368
300722,399368
300722,831641
300722,831641
300722,831641
300722,399368
300722,399368
300722,399368
300722,399368
300722,399368
2961,399368
936,600210
936,836892
2895,600210
601989,600150
601989,600150
601989,600150
601989,600150
601989,600150
603968,600150
2884,990
2884,990
600966,990
600966,498
600877,498
600877,833994
300224,300224
300224,2311
300224,2311
300224,2311
300224,300224
737,300224
737,600740
737,737
737,737
737,737
737,737
737,737
737,737
737,737
737,737
737,737
737,737
737,737
737,737
603196,9086
603196,836892
600980,300302
600980,300302
600980,300302
600980,300302
600980,300302
600980,300302
600980,300302
600980,600980
600547,600547
600547,600547
600547,600547
600547,600547
688456,600547
688456,300302
688456,300302
688456,300302
688456,300302
688456,300302
688456,300302
688456,300302
688456,300302
2060,8202
600817,14433
600817,14433
