广州市浪奇实业股份有限公司,,"161,242.013400",32095,5.02,850,24.24,12.0,-25.49,-0.11,,-0.07,-0.08,205.89,1.31,351.29,50.93,0.77,,5.30,34.15,7.91,-19.19,,,-4.27,,,67.69,112.13,,5.18,106.32,143.19,,2.25,41.12,0.08,58.88,-961.60,47.66,1.41,2.11,-1.62,9.09,-1.52,-1.57,-1.51,90.43,-1.97,-2.40,-2.40,-3.93,-1.62,,9.79,4.78,67.69,"196,058","17,815","-2,961",-1,-148,"-3,109","-3,869","-15,614","-30,431","239,436","129,038","140,978","61,262","100,139",-3.81,"196,058","177,294","-2,961","-3,109",760,"-3,869",-0.02,"29,194","22,112","42,366","129,038",,"239,436","61,262","79,716","140,978","98,458","56,720","-15,614","-8,182","-6,636","-30,431","26,288","129,038","110,398","239,436","61,262","79,716","140,978","98,458","239,436"
葫芦岛锌业股份有限公司,30,"140,986.927900",149077,0.95,6738,7.91,2.73,12.93,0.12,26.10,0.08,0.05,103.55,2.61,157.41,60.56,1.72,,4.46,3.99,67.74,41.86,-2.12,-83.69,78.41,,,171.63,94.35,,,,178.34,,,35.93,,64.07,127.71,27.81,0.47,1.07,0.31,2.21,0.30,0.27,-0.02,97.40,0.18,1.78,1.78,0.85,0.31,,2.24,100.21,171.63,"1,413,024","31,285",-254,-246,"4,025","3,771","2,512","65,569","-2,807","822,614","543,765","527,067","507,236","295,547",0.85,"1,413,024","1,376,328",-254,"3,771","1,259","2,512",0.02,"141,085","19,308","306,695","543,765",,"822,614","507,236","19,831","527,067","295,547","46,501","65,569","-2,842","-65,533","-2,807","43,695","543,765","278,849","822,614","507,236","19,831","527,067","295,547","822,614"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东省高速公路发展股份有限公司,,"209,080.612600",48260,4.33,2983,22.96,13.01,200.23,0.32,1.44,0.13,0.72,272.73,0.99,"1,546.39",,0.17,0.31,,12.06,22.39,-1.26,2.75,-15.26,-17.26,,,49.99,134.69,100.00,28.32,96.55,65.52,110.32,23.87,60.42,1.94,39.58,"1,701.42",277.60,2.94,2.94,8.83,66.20,8.81,155.85,64.86,33.35,50.47,79.37,79.37,14.62,8.83,,7.88,9.98,49.99,"328,806","217,674","213,257","20,965",343,"213,600","165,940","238,285","34,307","1,878,597","349,923","743,614","119,004","894,166",13.01,"328,806","109,655","213,257","213,600","47,660","165,940",0.57,"329,948","13,468",,"349,923","1,028,811","1,878,597","119,004","624,610","743,614","1,134,983","295,518","238,285","-30,245","-173,832","34,307","329,826","349,923","1,528,673","1,878,597","119,004","624,610","743,614","1,134,983","1,878,597"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉峰三农科技服务股份有限公司,28,"38,024.038000",31329,1.21,972,1.13,20.78,4.58,0.05,1.77,0.04,0.03,193.13,1.40,232.70,91.30,1.16,,2.96,44.17,6.11,4.30,25.32,56.81,5.44,,,388.57,76.61,,,,393.78,,,20.25,,79.75,270.17,24.54,0.61,1.07,2.04,14.28,2.20,2.77,2.63,85.58,1.90,10.03,10.03,10.07,2.04,,10.50,1.04,388.57,"200,732","28,657","5,284",-1,56,"5,340","3,812","6,736","3,192","186,855","157,863","149,014","147,042","8,288",3.86,"200,732","171,787","5,284","5,340","1,528","3,812",0.01,"36,087","35,498","68,826","157,863",,"186,855","147,042","1,971","149,014","37,842","16,120","6,736","1,644","-5,188","3,192","19,312","157,863","28,992","186,855","147,042","1,971","149,014","37,842","186,855"
河南神火煤电股份有限公司,,"225,098.660900",84834,2.65,22701,14.19,6.16,33.88,0.29,1.35,0.18,0.29,128.64,2.10,441.68,35.07,0.61,,7.70,4.45,60.63,-6.26,31.63,156.87,29.47,,,154.68,185.23,,14.56,158.26,159.82,,6.56,38.49,-0.27,61.51,"1,775.43",34.57,0.44,0.54,13.32,30.95,13.08,36.79,26.87,67.37,21.39,305.41,305.41,34.61,13.32,,3.84,-0.07,154.68,"3,213,372","994,581","863,322","1,137","-1,728","861,594","687,485","926,240","25,161","5,161,080","1,481,674","3,174,642","2,734,247","1,445,893",49.47,"3,213,372","2,164,878","863,322","861,594","174,109","687,485",2.62,"940,828","67,164","284,636","1,481,674",,"5,161,080","2,734,247","440,395","3,174,642","1,986,438","270,550","926,240","25,708","-928,352","25,161","295,711","1,481,674","3,679,406","5,161,080","2,734,247","440,395","3,174,642","1,986,438","5,161,080"
深圳市深粮控股股份有限公司,,"115,253.525400",53869,2.14,1278,49.69,8.84,32.78,0.25,2.32,0.10,0.12,180.88,1.49,326.64,163.45,0.83,,1.65,9.81,27.52,-0.64,4.26,6.65,-15.74,,,59.23,72.82,,10.36,65.28,63.39,,7.08,61.20,0.27,38.80,914.67,4.72,0.45,1.90,4.12,12.34,4.14,5.48,5.09,87.44,5.01,27.65,27.65,6.74,4.12,,5.57,0.80,59.23,"636,502","78,556","32,379",134,125,"32,504","31,870","73,946","5,595","773,112","428,545","299,943","225,568","466,055",6.87,"636,502","556,567","32,379","32,504",634,"31,870",0.28,"10,636","17,950","327,790","428,545",,"773,112","225,568","74,374","299,943","473,169","4,937","73,946","-40,356","-28,004","5,595","10,532","428,545","344,567","773,112","225,568","74,374","299,943","473,169","773,112"
铜陵有色金属集团股份有限公司,,"1,052,653.330800",398042,2.64,11832,15.94,10.43,39.12,0.29,4.03,0.15,0.10,98.68,2.74,164.28,40.16,1.64,,6.72,5.21,51.87,11.95,23.15,-23.30,-11.95,,,99.43,76.52,,18.11,62.66,103.48,,10.87,49.14,0.45,50.86,719.92,45.03,1.12,1.64,3.69,5.16,3.90,3.18,3.05,94.54,2.37,20.00,20.00,7.50,3.69,,1.50,3.51,99.43,"8,868,155","457,889","270,621","8,519","1,019","271,640","210,509","848,438","384,105","5,707,930","3,561,585","2,902,829","2,168,686","2,477,331",7.73,"8,868,155","8,384,004","270,621","271,640","61,131","210,509",0.18,"976,473","154,421","1,143,165","3,561,585",,"5,707,930","2,168,686","734,143","2,902,829","2,805,101","522,610","848,438","-133,495","-333,391","384,105","906,715","3,561,585","2,146,344","5,707,930","2,168,686","734,143","2,902,829","2,805,101","5,707,930"
